x,y
47,62
30,55
40,64
9,74
62,80
35,48
39,110
70,62
41,80
73,53
56,50
33,64
39,73
70,73
43,62
37,74
40,6
50,46
5,76
60,75
59,82
19,72
28,57
38,72
41,81
46,5
24,25
23,46
71,64
33,52
72,40
17,42
68,65
34,54
33,64
33,57
31,49
77,84
73,85
35,13
13,35
76,51
62,46
71,62
58,52
50,52
68,86
61,59
35,104
57,44
70,69
41,4
38,47
72,70
71,83
4,66
73,76
31,51
23,103
73,49
71,48
24,46
67,57
64,52
38,32
67,57
45,3
51,53
25,47
75,72
70,60
51,33
6,67
66,28
28,45
66,71
39,54
35,69
50,87
25,15
75,71
70,46
72,52
22,13
58,27
38,65
56,87
35,11
41,38
65,67
29,57
50,65
36,31
29,44
38,49
78,70
77,78
29,54
24,61
29,46
26,40
80,58
68,61
31,48
72,100
50,86
61,96
29,75
77,86
44,56
77,65
29,65
70,87
61,50
78,19
53,5
77,18
52,16
33,52
51,22
70,50
32,58
32,50
68,84
55,74
30,72
32,75
68,107
69,99
25,102
70,73
30,74
49,62
53,71
36,37
57,46
63,37
13,29
75,58
50,35
45,6
73,64
55,43
52,36
26,52
64,79
61,100
31,73
20,35
37,51
57,71
69,67
34,52
73,15
70,79
69,102
52,46
53,77
23,46
48,54
32,53
18,76
64,87
19,60
22,35
41,57
14,74
19,64
40,7
46,77
61,95
57,44
58,65
43,5
59,37
58,36
49,49
39,102
29,57
40,62
57,92
52,56
35,42
74,63
41,28
44,12
53,98
65,71
35,55
50,84
69,71
61,65
62,85
73,43
41,70
41,68
31,82
28,94
71,76
45,34
68,50
59,78
30,67
63,99
45,65
41,56
67,65
74,89
34,65
58,120
37,34
31,43
62,64
55,72
39,108
23,62
75,66
39,49
67,88
60,72
68,97
66,46
32,34
77,57
28,56
63,57
30,64
76,75
76,83
12,118
62,52
68,80
75,83
54,74
47,30
62,41
28,56
37,73
45,64
28,80
76,72
70,94
46,16
56,70
55,35
36,59
54,79
58,44
55,68
26,65
77,58
53,41
53,73
52,59
58,69
65,83
76,81
32,71
57,49
76,66
50,44
54,72
30,54
67,90
77,80
31,50
24,24
47,59
36,93
28,36
40,80
73,84
20,46
79,71
59,43
51,60
7,98
33,64
49,17
79,50
24,36
61,63
48,48
76,22
63,49
65,61
54,40
41,4
71,21
53,39
44,42
46,55
76,20
19,16
50,35
76,52
46,43
59,19
33,48
73,63
34,19
37,52
67,57
23,56
24,61
75,82
37,51
23,52
39,4
12,50
32,40
75,32
60,58
35,29
32,55
23,58
15,44
71,52
28,50
77,70
66,30
37,13
54,57
19,43
68,42
72,56
35,30
77,70
68,77
73,57
63,85
38,13
20,16
53,49
35,10
50,51
58,72
33,51
61,92
60,50
47,20
19,100
31,48
16,28
44,23
54,72
57,52
80,29
24,46
48,60
59,26
51,6
69,37
38,7
73,52
66,59
68,67
56,57
35,43
49,32
68,53
61,56
70,58
40,7
60,91
23,27
23,71
43,64
69,56
40,52
11,37
78,29
37,54
18,26
38,4
71,43
27,20
25,15
41,9
36,7
62,58
38,11
65,59
34,6
29,55
74,76
73,78
54,21
54,16
63,3
28,33
44,77
42,77
43,10
71,81
34,31
71,43
36,22
19,14
50,30
49,8
44,55
76,64
45,54
68,64
30,55
76,59
47,66
64,34
48,66
28,109
61,71
48,87
46,13
59,38
53,93
45,75
76,53
64,63
73,68
38,56
52,91
23,93
25,48
27,54
38,55
23,40
69,64
28,55
74,78
72,74
2,71
38,8
74,19
29,34
45,57
26,64
62,35
30,50
64,52
21,55
63,50
42,54
74,76
45,23
49,71
42,66
40,77
35,65
30,52
66,63
23,53
75,20
67,57
34,42
63,42
44,61
74,63
30,49
24,28
39,44
71,70
37,53
44,58
72,85
50,71
5,83
45,63
27,36
41,54
63,86
49,5
39,27
41,57
30,50
43,8
72,51
61,32
77,50
63,56
40,57
41,51
22,52
72,52
32,78
41,21
30,65
62,39
51,46
48,54
29,71
19,97
46,67
35,81
78,89
25,79
78,85
27,65
4,53
37,53
65,38
32,21
70,97
14,55
19,62
74,71
72,68
12,97
68,63
41,19
71,68
29,53
62,62
70,57
70,66
42,36
46,28
38,67
41,77
35,60
22,50
58,73
63,21
66,80
41,71
25,70
54,30
35,48
58,88
51,20
68,69
34,32
26,44
54,20
66,22
37,50
31,69
55,42
59,62
36,61
49,77
53,84
73,69
46,26
52,67
67,67
51,65
75,25
60,41
21,38
74,74
67,21
59,33
15,32
76,52
74,47
11,38
26,50
72,54
45,58
33,67
39,35
16,28
48,59
77,38
64,116
34,71
59,44
37,36
67,47
44,40
35,57
60,86
28,50
77,72
41,42
72,69
58,53
67,50
16,55
26,69
72,102
58,16
72,77
73,91
27,55
36,62
39,42
35,39
74,14
49,5
75,36
77,65
56,80
65,84
59,74
73,42
74,108
41,35
71,37
77,51
45,46
54,41
6,50
45,31
40,9
69,26
74,52
48,42
44,43
29,55
53,14
64,10
65,57
30,46
31,49
62,47
10,88
60,39
74,28
52,2
70,78
20,55
71,15
18,24
47,36
26,82
15,19
43,8
36,88
46,28
64,32
72,55
31,6
72,38
77,34
54,37
48,45
51,58
45,12
72,67
58,64
37,62
76,64
53,56
77,66
53,36
76,58
44,54
60,10
77,17
76,64
60,106
68,32
53,36
61,63
77,64
56,49
43,64
56,22
11,27
77,54
38,19
65,31
73,55
51,29
74,57
53,28
77,25
44,4
41,33
38,69
62,41
52,49
19,37
42,2
13,85
43,40
32,41
30,95
67,37
21,41
30,35
56,26
34,42
41,42
37,46
48,47
26,31
21,30
3,35
42,52
48,29
58,20
38,66
37,42
25,37
72,44
44,5
80,36
63,75
50,58
48,38
77,74
34,49
4,100
68,48
31,33
39,55
51,50
43,54
11,44
52,60
42,6
29,18
80,26
25,17
79,66
60,63
46,58
24,56
53,52
80,51
67,11
34,41
64,53
76,80
62,48
44,58
70,64
48,46
45,3
66,44
34,12
37,6
45,7
52,43
58,27
17,13
51,4
4,64
63,78
19,43
49,51
76,61
23,44
56,44
47,12
19,7
34,29
20,64
75,37
41,5
55,56
68,52
33,43
26,19
13,40
75,51
30,24
10,37
75,56
11,37
35,67
77,28
49,4
42,34
49,4
79,57
18,43
73,57
16,49
52,55
14,40
4,33
78,77
72,37
13,29
14,44
56,7
39,32
76,46
64,51
34,35
61,44
48,44
49,49
2,105
38,16
41,43
30,66
60,76
36,35
44,4
54,41
57,46
25,50
42,48
42,56
76,53
79,13
51,7
39,43
47,11
61,40
36,13
39,28
75,71
79,58
40,70
77,87
22,26
45,35
80,64
45,71
77,81
55,42
21,27
38,8
45,25
71,65
70,52
61,32
29,47
57,25
48,37
23,32
55,24
39,67
33,53
67,114
37,94
72,23
12,38
77,69
50,3
36,8
75,41
26,31
47,63
45,44
76,78
45,11
48,7
39,11
15,37
41,50
36,62
73,53
38,12
73,21
23,38
74,48
46,40
58,27
11,89
71,41
24,23
31,14
55,51
50,42
75,78
46,47
26,25
41,45
66,52
74,51
26,46
45,35
71,30
51,68
59,49
55,13
72,16
42,69
69,47
37,7
60,99
61,49
70,50
55,17
33,19
65,52
39,41
64,52
60,74
27,49
27,63
39,7
77,19
33,46
31,48
42,4
1,100
52,25
42,5
78,18
35,25
35,17
24,31
43,5
30,32
48,25
41,5
59,34
69,24
41,56
54,21
75,25
31,52
67,49
46,69
75,64
69,44
1,46
21,52
40,66
31,28
75,71
25,76
43,76
26,49
56,56
58,117
52,3
23,31
27,29
71,68
43,7
59,83
45,40
77,85
37,47
54,58
52,41
77,14
75,57
56,2
18,75
66,44
76,55
23,30
65,11
17,49
24,18
73,18
56,49
53,57
72,18
27,6
80,79
59,41
72,63
62,85
36,3
46,33
1,75
17,64
65,61
44,55
71,39
47,4
39,67
18,50
58,37
70,69
35,59
73,63
21,79
69,24
64,64
28,25
63,38
54,77
16,15
71,49
56,34
39,7
63,51
36,5
76,31
76,15
53,77
33,57
73,33
43,21
64,77
49,9
56,58
46,9
34,62
54,30
48,20
21,27
56,1
46,8
71,88
45,11
17,42
41,26
74,79
27,27
36,58
62,72
62,46
41,6
57,31
77,22
45,64
77,70
78,66
74,32
56,25
43,59
53,40
41,8
64,86
33,53
72,19
62,51
35,20
45,4
73,55
76,22
24,36
44,45
58,52
62,47
36,25
34,44
62,43
80,48
72,23
67,44
51,45
67,66
70,86
48,68
44,72
72,40
30,30
61,70
42,8
72,66
75,65
42,28
52,74
51,70
45,73
67,77
40,53
17,67
68,55
36,64
54,77
20,59
51,32
74,84
68,59
26,51
21,51
72,55
65,66
37,54
75,91
65,64
73,64
10,87
41,77
61,49
75,71
52,9
70,93
53,71
27,57
53,49
27,52
55,57
57,70
70,66
73,93
42,46
33,73
61,58
53,66
67,92
71,92
65,92
69,57
77,32
40,42
46,7
42,5
75,64
67,92
73,85
69,72
74,71
24,51
72,28
52,3
45,5
58,53
49,14
49,31
24,111
69,25
75,93
71,52
29,23
76,44
54,24
62,66
72,52
44,13
41,41
29,49
51,42
49,38
40,55
38,58
72,44
63,82
61,52
47,50
49,77
53,38
60,27
54,43
39,63
32,65
75,59
65,42
31,46
47,62
24,9
39,9
42,27
43,24
24,33
77,59
42,57
47,4
19,50
67,95
72,57
37,64
77,17
38,36
52,42
53,45
45,3
61,73
45,64
35,69
74,89
58,56
75,46
38,41
67,62
60,51
73,30
51,47
44,51
58,42
61,70
66,82
6,43
45,56
13,20
64,73
70,66
52,40
46,52
24,49
17,66
70,58
72,59
66,56
59,45
28,53
67,62
60,63
53,44
35,30
77,49
41,32
71,38
66,51
40,54
57,64
19,41
79,51
48,46
23,33
54,55
70,70
51,35
10,48
61,70
56,88
66,89
29,43
43,54
61,71
44,21
45,51
51,3
34,65
40,72
60,47
30,38
60,67
40,54
43,55
67,58
36,48
68,57
66,74
28,87
30,33
48,72
69,93
49,77
56,70
37,46
42,57
35,69
48,45
33,64
48,67
58,52
72,52
29,54
44,75
79,43
67,65
41,28
68,108
29,36
44,58
77,52
49,43
79,67
46,41
40,16
75,37
77,32
32,22
78,72
77,24
50,20
47,11
77,41
44,6
31,48
68,79
45,11
41,42
53,29
63,41
69,77
53,43
42,72
23,82
42,6
53,57
25,32
56,76
44,65
56,5
35,53
38,51
48,20
28,50
52,73
32,32
76,69
58,58
61,50
23,15
64,73
57,83
55,59
53,40
34,38
67,56
32,3
74,9
30,41
43,10
36,9
43,44
78,63
44,56
45,5
23,49
16,3
35,44
71,33
46,38
78,86
56,79
31,58
48,34
59,61
31,10
73,46
40,21
68,45
46,38
78,55
68,55
41,5
46,42
56,66
75,18
45,5
54,39
27,31
31,31
65,66
57,53
65,65
12,58
71,38
45,43
71,59
49,45
69,65
77,58
44,7
47,30
76,85
71,74
52,78
66,86
55,38
36,68
25,43
70,76
47,70
56,16
58,57
69,15
59,27
40,70
42,44
47,66
77,9
47,69
33,37
42,8
60,27
16,93
66,12
36,39
64,19
79,50
17,117
24,48
53,50
33,58
61,72
71,34
4,17
46,77
73,93
29,74
51,50
60,58
40,88
70,99
42,64
27,64
42,79
35,63
58,65
52,60
29,53
27,13
28,80
44,54
74,79
71,56
43,53
49,71
61,63
13,53
48,53
42,36
59,53
21,83
24,68
22,44
16,36
13,64
36,44
41,44
39,40
75,43
45,12
50,89
26,120
24,45
48,6
38,7
78,21
63,15
28,22
64,68
39,55
50,9
53,26
48,74
29,36
41,10
44,6
22,26
32,6
10,38
76,85
41,7
52,61
4,77
42,7
51,63
52,46
50,57
47,71
62,76
48,21
49,101
42,5
59,27
53,55
79,55
54,60
25,50
69,53
24,63
71,22
80,21
36,19
20,37
71,30
16,16
22,66
30,57
61,71
70,84
30,71
58,35
15,23
26,56
42,64
29,46
27,62
61,71
60,48
45,57
40,16
54,57
18,71
27,52
28,44
75,65
62,38
44,56
67,88
40,9
78,77
16,54
48,22
75,56
15,74
57,38
52,58
55,26
63,5
78,16
77,33
77,11
63,15
70,42
67,65
35,14
32,63
46,6
27,36
65,56
67,65
44,54
57,83
62,63
27,68
58,59
65,65
66,27
62,52
59,13
31,34
40,54
23,53
33,61
62,79
51,57
63,78
44,56
55,63
56,71
71,78
38,18
51,58
67,73
33,56
25,54
69,76
71,55
65,51
68,43
28,79
38,41
6,68
48,47
42,55
45,89
41,6
68,49
72,63
26,58
65,56
50,38
65,10
22,16
8,42
68,62
66,76
42,47
56,88
70,77
34,83
10,15
44,5
30,54
32,19
28,55
46,57
73,45
42,29
76,66
46,30
39,7
77,47
79,66
23,39
77,47
41,9
53,65
47,50
53,29
18,8
77,31
38,26
67,56
25,42
31,93
57,4
78,80
68,81
59,13
43,8
68,64
64,63
35,50
19,35
22,93
56,16
35,24
48,5
76,65
41,40
78,72
80,63
32,6
63,65
79,4
51,54
73,55
44,46
43,4
36,9
22,71
69,28
32,29
69,43
47,34
44,6
3,92
68,69
54,76
10,41
59,49
79,58
76,16
79,37
75,73
69,94
31,77
72,78
15,95
29,68
69,72
51,23
79,65
37,73
57,57
76,63
34,49
29,57
46,71
62,51
44,13
36,60
70,75
33,33
25,62
78,74
66,73
77,85
48,58
42,7
47,78
76,87
28,56
27,60
79,79
59,120
26,36
55,66
31,31
44,9
27,52
37,52
29,31
36,18
23,49
74,72
40,59
43,19
1,100
62,80
65,90
77,89
52,11
51,49
29,59
22,47
22,57
75,69
22,68
40,70
75,80
75,84
33,62
48,86
76,93
45,64
56,73
61,48
31,38
77,6
48,2
56,67
76,87
45,65
37,13
33,65
59,72
66,72
40,69
24,28
52,61
46,41
46,39
40,5
75,35
44,50
22,65
19,51
38,28
77,47
62,41
64,34
46,4
25,55
47,65
5,41
44,43
77,9
50,35
67,15
27,35
45,40
72,59
34,27
61,55
46,40
75,65
35,37
30,58
67,83
6,50
71,64
51,9
72,84
33,39
26,47
62,87
73,84
55,57
55,54
43,6
76,36
54,62
22,22
45,33
54,54
18,42
74,98
39,77
54,56
71,93
39,82
39,49
41,9
16,43
42,9
28,30
4,49
43,36
77,79
49,13
44,63
77,93
67,10
39,6
69,37
35,8
78,18
6,9
38,93
56,98
29,44
63,25
26,26
24,39
63,88
76,53
40,33
43,28
40,34
77,49
55,26
47,5
5,18
53,57
77,65
54,72
52,67
40,46
76,63
70,69
18,46
75,77
29,112
64,47
43,34
75,77
34,61
24,55
73,77
41,4
20,41
13,9
74,55
74,77
25,29
72,47
75,67
74,77
4,21
75,76
9,63
44,3
74,84
20,14
38,35
71,67
31,34
44,24
76,89
74,23
51,3
53,29
49,72
57,25
3,63
68,60
31,45
76,47
74,37
65,78
71,95
42,113
70,102
78,59
28,58
64,61
78,96
41,7
35,72
46,49
72,38
68,74
78,25
73,45
56,74
57,70
17,46
74,44
63,91
28,44
75,51
66,61
35,6
50,41
44,5
38,40
48,85
71,20
29,8
66,54
48,2
44,50
54,32
34,31
42,3
72,24
42,68
63,50
26,80
53,63
58,65
27,26
55,43
10,40
76,58
30,31
60,51
34,3
58,71
58,39
34,35
74,29
43,4
46,36
28,37
79,41
42,9
23,16
49,6
77,41
60,46
46,56
58,46
78,51
4,46
44,51
41,4
78,57
28,107
49,64
77,39
79,57
32,49
77,84
79,61
23,42
47,6
42,39
60,39
48,29
78,105
38,25
78,47
57,31
25,21
58,81
78,76
31,48
66,71
64,64
78,69
23,24
80,23
65,54
54,5
12,53
40,63
37,21
53,86
7,39
62,41
